international,age,semesters_completed,commute_distance_km,financial_need_score,housing_urgency_rating,grades,should_recieve_housing,HO,A1,A2,A3,A4
domestic,21,2,7.8,53.03,6.9,5.91,0,1,0,0,1,1
domestic,20,3,26.5,58.45,5.4,1.8,0,1,0,0,0,0
international,32,5,23.1,72.61,5.8,4.8,1,0,1,1,1,0
domestic,24,2,1.6,60.36,2.8,3.45,0,0,0,0,0,0
domestic,22,4,9.5,54.56,2.7,4.47,0,0,0,0,0,0
domestic,23,2,21.7,73.1,8.2,5.26,1,1,1,1,1,1
domestic,26,3,9.8,75.27,4.9,5.02,0,1,1,1,1,1
international,21,2,23.8,58.42,5.3,4.4,1,1,0,1,0,0
domestic,26,5,31.7,88.44,7.8,2.22,1,1,1,1,1,1
domestic,21,2,2.6,71.13,3.2,5.85,0,0,1,1,0,0
domestic,22,5,28.4,30.8,3.4,3.21,0,0,0,0,0,0
domestic,27,8,18.0,55.0,7.0,3.36,0,1,0,0,0,0
domestic,29,6,5.5,63.83,5.1,4.74,0,0,0,1,0,0
international,22,2,2.2,74.76,6.5,5.4,1,1,1,1,1,1
domestic,23,4,34.4,69.0,7.8,1.77,1,1,1,1,1,1
domestic,23,7,2.6,66.63,2.6,2.73,0,0,0,0,0,0
international,28,4,28.6,39.86,3.2,62.4,0,0,0,0,0,0
domestic,22,6,45.3,55.54,5.9,3.78,0,1,0,0,0,0
international,24,6,3.7,50.69,2.0,B,0,0,0,0,0,0
domestic,30,6,27.9,68.03,5.5,4.37,0,0,0,1,1,0
domestic,22,0,5.8,54.42,4.5,4.08,1,0,0,0,0,0
domestic,25,4,11.6,35.58,6.9,4.6,0,1,0,0,0,0
domestic,24,3,8.6,73.15,4.9,4.77,0,1,1,1,1,1
domestic,27,5,22.0,25.33,2.6,4.8,0,0,0,0,0,0
domestic,23,3,24.5,34.34,5.1,5.25,0,0,0,0,0,0
domestic,32,9,38.2,79.93,3.4,5.08,0,0,1,1,0,0
domestic,23,4,6.0,72.35,4.4,5.49,1,0,1,1,0,1
domestic,27,4,4.2,30.89,3.1,4.73,0,0,0,0,0,0
international,29,8,30.2,48.17,4.3,2.2,0,0,0,0,0,0
domestic,26,8,1.2,71.52,1.6,5.86,0,0,1,0,0,0
domestic,21,2,5.4,76.19,4.5,4.28,0,1,1,1,1,1
domestic,22,2,3.8,32.54,4.2,5.24,0,0,0,0,0,0
domestic,30,10,4.2,76.73,5.0,4.68,1,0,1,1,0,0
international,24,6,36.1,81.01,5.5,3.9,1,1,1,1,0,1
domestic,24,8,34.7,33.36,5.2,4.86,0,0,0,0,0,0
domestic,24,6,45.4,65.02,5.5,4.88,1,1,0,1,0,0
domestic,27,7,30.9,73.24,6.2,3.05,1,1,1,1,0,1
domestic,33,11,16.7,29.88,1.3,,0,0,0,0,0,0
domestic,27,3,13.6,33.31,5.7,3.44,0,0,0,0,0,0
domestic,26,7,7.8,20.71,2.2,2.47,0,0,0,0,0,0
domestic,21,4,24.5,64.04,6.3,4.75,1,1,0,1,1,1
domestic,26,2,30.8,60.81,6.6,5.21,1,1,0,1,0,1
domestic,20,4,1.1,52.26,3.9,3.06,0,0,0,0,0,0
domestic,26,6,4.8,52.25,3.8,4.47,0,0,0,0,0,0
domestic,26,8,36.1,34.88,4.3,2.75,0,0,0,0,0,0
domestic,23,8,12.2,37.49,1.6,3.94,0,0,0,0,0,0
domestic,23,3,0.6,57.45,5.7,3.19,1,1,0,0,1,0
domestic,28,5,5.9,73.65,6.1,3.19,1,1,1,1,1,1
international,36,10,34.1,54.99,6.3,9.2,0,0,0,1,0,0
international,22,2,26.8,72.49,7.1,3.7,1,1,1,1,1,1
domestic,24,6,32.1,44.05,3.1,5.66,0,0,0,0,0,0
domestic,23,1,28.1,66.6,8.1,2.48,1,1,0,1,1,1
domestic,25,2,38.2,66.31,7.6,3.42,1,1,0,1,1,1
domestic,25,6,7.7,42.77,6.8,2.88,1,1,0,0,0,0
domestic,22,1,5.1,67.7,4.1,5.71,0,0,0,1,1,1
domestic,24,6,26.6,37.01,3.6,4.27,0,0,0,0,0,0
domestic,23,6,13.0,37.36,3.0,3.26,0,0,0,0,0,0
domestic,23,5,7.2,48.43,2.7,3.45,0,0,0,0,0,0
domestic,23,5,49.3,40.45,6.9,5.95,0,1,0,0,0,0
domestic,21,0,2.2,72.91,5.9,5.36,1,1,1,1,1,1
international,23,7,17.8,76.95,7.8,,1,1,1,1,1,1
domestic,21,6,5.0,49.89,3.8,4.52,0,0,0,0,0,0
international,28,8,23.4,54.76,5.7,71.9,0,0,0,1,1,0
international,21,6,43.4,76.92,5.7,40.7,1,1,1,1,0,1
domestic,27,4,37.6,47.17,7.4,5.29,1,1,0,0,0,0
domestic,21,0,10.2,39.59,4.2,2.79,0,0,0,0,0,0
international,34,7,53.9,63.4,5.7,3.8,0,0,0,1,0,0
domestic,20,3,7.5,43.9,3.4,5.28,0,0,0,0,0,0
domestic,27,8,18.8,58.42,4.1,,0,0,0,0,0,0
international,21,5,21.2,48.97,4.0,A,0,0,0,0,0,0
domestic,31,8,1.1,69.26,1.3,4.77,0,0,1,0,0,0
international,26,6,52.0,59.64,5.4,9.2,1,0,0,1,0,0
domestic,26,6,18.0,9.21,2.6,5.71,0,0,0,0,0,0
domestic,37,11,29.2,45.85,4.5,,0,0,0,0,0,0
domestic,29,9,16.4,61.91,6.2,,0,0,0,1,0,0
domestic,21,5,38.0,38.96,6.9,5.65,0,1,0,0,0,0
domestic,28,9,9.5,61.04,5.7,3.82,0,0,0,0,0,0
international,30,5,36.1,56.82,5.4,70.7,0,0,0,1,0,0
international,20,4,28.9,50.1,7.1,3.1,0,1,0,0,0,0
domestic,25,1,27.0,49.69,5.4,4.42,1,0,0,0,1,0
international,20,4,40.6,35.84,5.8,50.4,0,0,0,0,0,0
domestic,21,1,19.7,77.09,5.3,4.5,1,1,1,1,1,1
domestic,29,11,2.8,25.38,1.1,3.72,0,0,0,0,0,0
domestic,31,5,48.2,54.31,7.2,,0,1,0,0,0,0
domestic,21,1,32.6,81.68,7.9,2.58,1,1,1,1,1,1
domestic,26,6,4.8,58.6,4.3,3.99,0,0,0,0,0,0
domestic,19,1,0.0,21.37,1.3,5.78,0,0,0,0,0,0
domestic,25,5,47.5,65.62,8.2,4.81,1,1,0,1,1,1
domestic,31,11,58.1,47.47,3.1,3.62,0,0,0,0,0,0
domestic,32,11,27.1,57.54,6.5,5.21,0,0,0,0,0,0
domestic,29,9,19.2,39.76,7.3,3.16,0,0,0,0,0,0
domestic,21,3,11.7,62.94,5.2,4.81,0,1,0,1,1,1
domestic,34,8,29.3,76.0,3.9,4.71,0,0,1,1,0,0
domestic,22,3,18.0,25.41,3.3,4.36,0,0,0,0,0,0
domestic,20,1,12.6,59.12,6.5,4.55,1,1,0,0,1,1
domestic,27,7,57.1,68.03,2.3,5.81,0,0,0,0,0,0
domestic,30,9,17.6,37.94,3.6,,0,0,0,0,0,0
international,30,2,30.7,78.28,7.4,8.0,1,1,1,1,1,1
international,22,1,52.2,89.82,6.6,8.4,1,1,1,1,1,1
domestic,26,7,40.4,88.5,6.1,2.53,1,1,1,1,0,1
domestic,20,4,2.9,63.35,5.7,3.03,1,1,0,1,1,1
international,25,4,18.5,79.27,5.5,3.8,0,1,1,1,1,1
domestic,29,10,41.9,28.6,2.4,4.92,0,0,0,0,0,0
domestic,28,7,45.5,79.7,6.3,5.31,1,1,1,1,0,1
domestic,31,10,10.6,31.49,1.1,5.55,0,0,0,0,0,0
domestic,23,2,2.5,59.42,2.6,2.91,0,0,0,0,0,0
domestic,23,6,9.1,63.58,5.0,4.24,0,0,0,1,0,0
domestic,24,2,12.6,75.17,7.1,3.97,1,1,1,1,1,1
international,27,7,26.3,39.76,2.7,3.2,0,0,0,0,0,0
domestic,30,5,21.1,29.27,3.5,,0,0,0,0,0,0
domestic,28,11,3.6,53.78,2.3,4.45,0,0,0,0,0,0
international,33,7,46.4,51.5,3.9,1.5,0,0,0,0,0,0
domestic,31,9,17.9,47.39,3.1,4.8,0,0,0,0,0,0
domestic,36,9,16.0,59.67,4.7,3.89,0,0,0,0,0,0
international,21,4,11.2,85.45,7.4,3.8,1,1,1,1,1,1
domestic,21,6,12.1,73.92,2.8,4.68,0,0,1,1,0,0
domestic,29,2,23.8,76.2,4.1,4.47,1,0,1,1,1,0
domestic,24,3,8.2,42.72,3.3,3.39,0,0,0,0,0,0
domestic,26,2,9.3,59.17,6.8,4.26,1,1,0,1,1,1
international,25,5,9.1,64.95,2.2,65.1,0,0,0,1,0,0
domestic,21,1,11.7,63.43,7.6,5.84,1,1,0,1,1,1
domestic,23,6,3.0,84.32,2.5,4.28,0,0,1,1,0,0
domestic,28,5,17.7,33.35,4.1,5.5,0,0,0,0,0,0
domestic,23,5,30.6,47.25,6.4,3.62,1,1,0,0,0,0
domestic,25,7,26.7,45.42,3.6,5.35,0,0,0,0,0,0
domestic,31,8,17.6,54.54,2.7,3.96,0,0,0,0,0,0
international,32,11,49.4,43.77,4.0,B,0,0,0,0,0,0
domestic,27,9,0.8,60.78,3.7,4.56,0,0,0,0,0,0
domestic,28,4,35.8,60.6,5.3,4.8,0,0,0,0,0,0
domestic,23,4,23.9,36.01,4.1,3.49,0,0,0,0,0,0
domestic,25,4,1.6,63.38,6.1,5.44,1,1,0,1,1,1
domestic,26,4,14.4,48.99,6.3,5.05,1,1,0,0,0,0
domestic,28,5,8.8,54.03,2.3,5.55,0,0,0,0,0,0
domestic,29,5,2.8,27.37,3.0,5.24,0,0,0,0,0,0
domestic,25,0,4.7,42.28,5.7,4.53,0,0,0,0,1,0
international,28,2,38.0,76.89,5.5,7.5,1,1,1,1,1,1
domestic,27,5,21.3,42.15,4.6,4.6,0,0,0,0,0,0
domestic,26,10,6.7,73.04,4.6,2.89,0,0,1,1,0,0
domestic,19,2,2.9,47.96,4.1,4.76,0,0,0,0,0,0
domestic,22,7,21.5,88.89,5.7,3.26,1,1,1,1,1,1
domestic,35,6,20.5,40.9,3.6,5.83,0,0,0,0,0,0
domestic,22,8,9.4,75.18,4.4,5.17,1,0,1,1,0,0
domestic,28,8,18.9,56.1,6.1,4.14,1,0,0,0,0,0
domestic,20,1,4.3,37.31,5.7,3.47,0,1,0,0,0,0
international,22,3,55.5,60.98,6.6,,0,1,0,1,0,1
domestic,32,9,43.8,36.41,5.5,5.4,0,0,0,0,0,0
domestic,22,5,55.0,61.04,7.9,4.35,0,1,0,1,0,1
domestic,20,4,3.9,58.02,7.6,3.78,1,1,0,1,1,1
domestic,27,7,11.1,36.65,4.1,5.4,0,0,0,0,0,0
domestic,33,9,36.9,40.89,5.6,5.46,0,0,0,0,0,0
international,21,6,62.9,77.77,5.5,8.5,1,1,1,1,0,1
domestic,19,1,28.2,76.23,6.2,3.71,0,1,1,1,1,1
domestic,23,7,14.1,76.1,4.9,5.47,0,1,1,1,0,1
domestic,22,3,12.7,55.73,6.0,3.62,0,1,0,0,1,0
domestic,25,3,31.2,81.12,8.9,4.17,1,1,1,1,1,1
international,25,3,10.5,61.42,3.3,82.5,0,0,0,1,1,0
international,27,3,21.2,74.32,7.6,4.7,1,1,1,1,1,1
domestic,29,8,16.8,59.08,4.8,4.76,0,0,0,0,0,0
domestic,27,6,20.6,53.99,5.0,4.88,0,0,0,0,0,0
domestic,36,11,20.1,69.12,5.9,4.53,0,0,1,1,0,0
domestic,29,10,31.8,34.11,1.9,4.77,0,0,0,0,0,0
international,25,7,29.7,71.77,4.6,6.0,1,0,1,1,1,0
domestic,19,1,3.5,68.96,6.0,5.12,1,1,1,1,1,1
domestic,26,2,5.9,54.54,5.4,4.47,0,0,0,0,1,0
domestic,20,4,14.4,85.73,7.5,3.53,1,1,1,1,1,1
international,28,5,25.8,74.85,5.3,F,1,1,1,1,1,0
domestic,25,6,10.9,59.35,7.7,5.11,1,1,0,1,1,1
domestic,34,10,13.6,22.49,2.7,3.59,0,0,0,0,0,0
domestic,25,4,14.1,47.28,5.5,3.05,0,0,0,0,0,0
domestic,30,5,47.8,89.21,7.3,2.72,1,1,1,1,1,1
international,21,6,34.8,82.45,6.9,84.8,1,1,1,1,0,1
domestic,28,6,19.9,32.92,0.9,4.14,0,0,0,0,0,0
domestic,24,6,7.5,51.45,3.7,4.33,1,0,0,0,0,0
domestic,28,6,8.8,40.14,3.4,4.65,0,0,0,0,0,0
international,24,3,31.0,77.19,6.5,5.8,1,1,1,1,0,1
domestic,28,8,27.9,32.92,3.7,3.86,0,0,0,0,0,0
domestic,29,10,12.0,63.08,4.9,2.62,0,0,0,0,0,0
domestic,32,7,11.8,36.85,5.0,3.08,0,0,0,0,0,0
domestic,22,6,15.1,52.38,3.6,3.09,0,0,0,0,0,0
domestic,21,4,17.8,60.31,5.9,5.27,0,1,0,0,1,0
domestic,20,1,25.3,63.66,7.7,3.46,1,1,0,1,1,1
international,33,10,41.9,76.98,4.5,72.1,1,0,1,1,0,0
domestic,24,4,9.5,66.53,3.1,3.42,0,0,0,0,0,0
domestic,30,8,17.9,41.04,4.7,3.63,0,0,0,0,0,0
domestic,23,2,38.2,39.57,7.7,4.95,0,1,0,0,0,0
domestic,22,7,14.4,60.06,3.9,5.77,0,0,0,0,0,0
international,22,4,13.0,85.44,6.9,3.2,1,1,1,1,1,1
international,24,3,9.7,69.08,7.0,53.0,1,1,1,1,1,1
domestic,22,3,13.1,62.02,6.4,2.76,1,1,0,1,1,1
domestic,29,8,9.4,57.0,2.8,4.99,0,0,0,0,0,0
domestic,27,4,5.6,60.71,4.4,5.24,0,0,0,0,0,0
international,22,8,37.3,37.99,3.6,1.8,0,0,0,0,0,0
domestic,25,3,2.3,54.04,3.9,1.47,0,0,0,0,0,0
domestic,26,3,34.4,48.97,6.8,4.66,1,1,0,0,0,0
domestic,23,4,22.8,60.39,3.8,4.33,0,0,0,0,0,0
international,22,1,4.3,83.54,8.0,4.0,1,1,1,1,1,1
domestic,24,4,3.2,58.41,5.3,4.11,0,0,0,0,0,0
domestic,26,5,29.9,37.91,4.0,4.73,0,0,0,0,0,0
international,26,11,45.7,78.48,6.8,,1,1,1,1,0,1
domestic,30,5,2.2,58.14,5.5,4.98,0,0,0,0,0,0
international,27,6,27.5,69.89,6.9,65.7,1,1,1,1,1,1
domestic,28,9,40.8,72.0,6.9,3.79,1,1,1,1,0,1
international,22,8,32.0,41.12,4.8,2.6,0,0,0,0,0,0
domestic,21,3,1.1,86.89,5.5,3.55,1,1,1,1,1,1
domestic,30,7,6.8,23.47,3.6,,0,0,0,0,0,0
international,23,1,25.4,62.84,7.1,2.7,1,1,0,1,1,1
domestic,20,1,14.2,76.2,6.5,3.35,1,1,1,1,1,1
domestic,20,4,5.7,47.93,3.4,3.68,0,0,0,0,0,0
domestic,27,5,36.4,63.45,6.3,4.28,0,1,0,1,0,0
international,21,3,36.7,78.35,6.3,B,1,1,1,1,0,1
domestic,20,3,5.4,54.44,5.5,3.91,1,1,0,0,0,0
domestic,23,6,4.0,39.82,2.0,4.81,0,0,0,0,0,0
domestic,28,4,18.4,68.67,7.8,5.15,1,1,1,1,1,1
international,23,1,1.3,55.66,4.6,6.0,0,0,0,0,0,0
domestic,35,6,12.4,15.74,4.1,5.05,0,0,0,0,0,0
domestic,20,2,27.0,86.48,7.3,5.66,1,1,1,1,1,1
domestic,23,4,13.8,83.79,5.3,4.74,1,1,1,1,1,1
domestic,21,2,4.8,41.54,5.0,4.95,0,0,0,0,0,0
domestic,24,6,8.0,41.98,5.3,4.54,0,0,0,0,0,0
domestic,19,1,14.9,86.05,8.3,5.85,1,1,1,1,1,1
domestic,30,10,43.9,34.2,4.0,5.91,0,0,0,0,0,0
domestic,30,6,3.1,75.6,3.3,4.48,1,0,1,1,0,0
domestic,25,5,30.6,63.91,4.4,3.48,0,0,0,0,0,0
international,24,3,30.9,67.98,6.3,9.7,1,1,1,1,0,1
domestic,25,2,19.7,47.0,5.0,4.25,0,0,0,0,0,0
domestic,24,6,12.4,64.91,6.3,3.88,1,1,0,1,1,1
domestic,23,4,4.3,56.62,6.3,4.95,1,1,0,0,1,0
domestic,27,7,34.6,66.32,7.6,2.01,1,1,0,1,0,1
international,23,4,39.3,64.96,2.3,62.7,1,0,0,1,0,0
international,27,7,39.9,49.25,4.9,1.2,1,0,0,0,0,0
domestic,22,4,16.9,74.54,6.5,5.38,1,1,1,1,1,1
domestic,28,9,34.7,48.72,4.8,4.84,0,0,0,0,0,0
domestic,35,11,44.5,30.35,4.0,,0,0,0,0,0,0
international,21,3,4.1,96.79,7.5,B,1,1,1,1,1,1
domestic,30,6,26.4,43.3,6.2,4.59,0,0,0,0,0,0
domestic,26,3,15.1,52.01,3.3,3.17,0,0,0,0,0,0
international,24,5,48.9,49.84,4.0,2.2,0,0,0,0,0,0
domestic,31,5,56.9,53.02,6.5,3.26,0,0,0,0,0,0
domestic,23,4,12.3,60.9,4.9,2.6,0,0,0,0,0,0
international,26,6,29.3,51.25,3.6,82.8,0,0,0,0,0,0
domestic,32,9,13.6,38.91,3.1,4.02,0,0,0,0,0,0
international,30,6,21.3,67.23,4.0,A,1,0,1,1,1,0
domestic,33,7,23.3,50.25,5.7,4.86,0,0,0,0,0,0
domestic,21,1,21.9,62.58,5.7,5.01,1,1,0,1,1,1
domestic,26,5,17.6,54.76,3.8,4.68,0,0,0,0,0,0
domestic,23,5,16.0,22.17,5.8,5.11,0,0,0,0,0,0
domestic,24,1,6.4,78.39,6.2,4.5,0,1,1,1,1,1
domestic,24,3,12.7,72.95,7.0,3.14,1,1,1,1,1,1
domestic,24,6,47.7,73.17,8.2,5.31,1,1,1,1,1,1
domestic,20,3,4.7,8.67,4.0,4.51,0,0,0,0,0,0
international,27,6,9.0,78.48,8.4,B,1,1,1,1,1,1
international,25,6,54.8,49.57,4.8,2.3,1,0,0,0,0,0
international,27,5,23.5,39.57,3.9,,0,0,0,0,0,0
international,23,2,18.5,45.52,6.0,A,1,1,0,0,0,0
domestic,22,4,0.3,78.18,6.9,3.44,1,1,1,1,1,1
domestic,32,9,34.5,71.53,8.3,4.32,1,1,1,1,0,1
domestic,36,11,58.5,49.68,5.1,5.35,0,0,0,0,0,0
international,23,2,69.0,35.83,7.6,54.3,0,1,0,0,0,0
domestic,25,1,10.0,33.18,4.4,4.95,0,0,0,0,0,0
domestic,20,4,31.6,27.99,3.9,5.17,0,0,0,0,0,0
domestic,39,11,7.8,44.31,1.2,3.42,0,0,0,0,0,0
domestic,32,8,18.5,67.29,7.7,3.07,1,1,0,1,1,0
domestic,21,3,21.4,60.26,6.8,4.49,1,1,0,1,1,1
domestic,35,10,3.8,47.94,4.0,5.08,0,0,0,0,0,0
domestic,33,6,7.4,69.87,3.9,3.68,0,0,1,1,0,0
domestic,30,5,4.4,34.12,4.4,5.05,0,0,0,0,0,0
domestic,22,1,21.9,41.04,6.5,4.97,0,1,0,0,0,0
domestic,27,4,19.5,20.51,2.6,5.42,0,0,0,0,0,0
domestic,33,9,18.0,43.13,3.7,5.47,0,0,0,0,0,0
domestic,31,11,8.6,14.05,1.3,4.22,0,0,0,0,0,0
domestic,23,7,30.7,42.06,6.6,5.4,0,1,0,0,0,0
international,20,2,27.3,88.43,5.3,4.9,1,1,1,1,1,1
domestic,22,2,10.2,70.86,6.8,5.65,1,1,1,1,1,1
international,23,5,36.3,84.93,5.6,53.9,1,1,1,1,0,1
domestic,21,4,2.5,40.84,3.9,4.4,0,0,0,0,0,0
domestic,27,4,0.3,39.78,4.7,5.23,0,0,0,0,0,0
domestic,28,1,13.2,68.5,5.4,5.36,1,1,1,1,1,1
international,28,5,42.1,81.18,7.6,5.0,1,1,1,1,1,1
domestic,21,3,22.5,47.1,4.8,3.53,0,0,0,0,0,0
domestic,31,5,18.7,48.72,5.3,5.66,0,0,0,0,0,0
domestic,22,4,45.1,65.98,7.9,4.03,0,1,0,1,0,1
domestic,34,11,11.8,53.77,6.1,2.44,0,0,0,0,0,0
domestic,21,5,11.4,68.5,5.1,5.48,1,1,1,1,0,1
domestic,23,6,1.6,77.43,2.3,3.92,0,0,1,1,0,0
domestic,26,6,22.9,53.49,7.2,5.13,1,1,0,0,1,0
domestic,28,5,33.1,48.33,4.7,2.89,0,0,0,0,0,0
domestic,22,3,2.3,56.27,4.5,5.5,0,0,0,0,0,0
domestic,23,2,19.3,52.02,4.1,4.1,1,0,0,0,0,0
international,24,11,28.9,46.49,3.7,8.5,0,0,0,0,0,0
domestic,29,5,14.1,64.02,4.9,3.96,1,0,0,1,0,0
domestic,23,7,45.5,54.92,4.4,2.81,0,0,0,0,0,0
domestic,34,8,50.2,36.04,4.2,5.74,0,0,0,0,0,0
international,27,5,56.6,59.88,6.4,B,0,1,0,1,0,0
domestic,22,4,33.2,56.13,7.5,4.08,1,1,0,0,0,1
domestic,26,8,20.2,48.5,2.1,4.92,0,0,0,0,0,0
domestic,30,9,19.5,74.84,3.7,4.39,0,0,1,1,0,0
domestic,34,11,61.3,30.57,3.5,4.94,0,0,0,0,0,0
domestic,29,4,26.1,41.43,4.5,5.67,0,0,0,0,0,0
domestic,28,2,12.3,27.72,3.0,5.11,0,0,0,0,0,0
domestic,27,3,1.8,64.51,4.7,5.79,0,0,0,1,1,0
domestic,34,10,2.5,58.84,1.7,5.58,0,0,0,0,0,0
international,34,11,20.3,52.39,1.9,C,0,0,0,0,0,0
domestic,35,10,14.6,41.63,2.3,5.79,0,0,0,0,0,0
domestic,28,6,10.9,49.58,4.5,4.76,0,0,0,0,0,0
domestic,23,3,20.6,51.95,5.0,4.23,0,0,0,0,0,0
domestic,25,6,1.4,58.21,4.8,4.01,1,0,0,0,0,0
domestic,23,6,31.4,42.51,5.6,5.54,0,0,0,0,0,0
domestic,20,2,2.6,66.41,3.2,4.43,0,0,0,0,0,0
domestic,36,8,16.5,25.81,1.6,5.73,0,0,0,0,0,0
international,25,2,20.9,56.3,6.3,95.1,1,1,0,1,1,0
domestic,27,6,2.2,36.42,5.0,5.77,0,0,0,0,0,0
domestic,26,6,4.3,54.34,4.7,5.88,0,0,0,0,0,0
international,30,8,38.4,46.47,6.6,82.9,0,0,0,0,0,0
domestic,27,5,30.1,48.08,6.2,5.26,0,0,0,0,0,0
domestic,31,10,43.2,42.98,5.8,4.98,0,0,0,0,0,0
international,31,9,33.8,74.98,1.9,C,0,0,1,1,0,0
domestic,22,7,12.7,70.96,5.8,4.93,0,1,1,1,1,1
international,30,7,41.4,60.28,4.8,A,0,0,0,1,0,0
domestic,33,10,19.2,69.09,3.4,5.7,0,0,1,1,0,0
domestic,22,4,0.2,50.87,5.6,5.25,1,1,0,0,0,0
domestic,28,6,1.4,61.84,3.0,4.91,0,0,0,0,0,0
domestic,20,2,21.9,84.47,7.5,2.38,1,1,1,1,1,1
domestic,26,1,0.6,58.11,5.3,4.69,1,1,0,0,1,0
domestic,32,10,36.4,27.06,2.7,3.45,0,0,0,0,0,0
domestic,21,1,2.6,54.25,5.4,3.66,1,1,0,0,1,0
international,26,5,14.1,82.71,6.4,6.3,1,1,1,1,1,1
international,21,1,23.6,67.2,8.0,3.4,1,1,1,1,1,1
domestic,24,4,27.6,41.17,6.2,4.92,0,0,0,0,0,0
domestic,28,10,29.9,82.9,6.4,3.03,1,1,1,1,1,1
domestic,27,6,2.8,44.55,2.6,3.65,0,0,0,0,0,0
domestic,27,8,34.4,68.1,3.6,5.1,0,0,0,1,0,0
domestic,20,3,10.8,66.98,5.8,4.04,1,1,0,1,1,1
domestic,20,2,40.9,70.34,6.5,5.93,1,1,1,1,0,1
international,27,7,62.2,68.27,5.6,B,1,0,1,1,0,0
domestic,31,3,8.8,38.68,5.4,4.66,0,0,0,0,0,0
domestic,26,2,9.6,56.19,5.1,2.63,1,0,0,0,1,0
domestic,28,7,41.6,44.56,4.7,5.67,0,0,0,0,0,0
domestic,33,11,6.2,28.39,3.5,4.36,0,0,0,0,0,0
international,28,3,18.3,50.07,4.4,8.0,0,0,0,0,1,0
domestic,20,1,6.1,27.96,6.7,5.03,1,1,0,0,0,0
international,22,2,20.1,55.69,6.2,5.5,1,1,0,1,0,0
domestic,30,9,13.2,78.61,6.5,5.35,1,1,1,1,1,1
domestic,24,8,7.2,37.71,4.8,,0,0,0,0,0,0
international,22,8,17.1,77.88,6.3,A,1,1,1,1,1,1
domestic,25,1,23.1,55.69,7.3,3.22,1,1,0,0,1,1
domestic,24,2,4.9,67.99,6.2,3.43,1,1,0,1,1,1
international,31,8,4.2,82.41,5.0,34.5,0,0,1,1,1,0
international,34,10,59.1,60.58,3.5,2.0,0,0,0,1,0,0
domestic,25,3,9.8,72.7,4.3,5.51,0,0,1,1,1,0
domestic,24,5,6.3,50.36,1.5,3.35,0,0,0,0,0,0
domestic,29,8,37.4,35.29,4.7,5.83,0,0,0,0,0,0
domestic,24,6,19.4,42.72,6.9,5.16,0,1,0,0,0,0
international,21,4,18.2,80.53,5.2,6.1,1,1,1,1,1,1
domestic,28,5,14.3,42.59,2.9,3.9,0,0,0,0,0,0
domestic,30,8,0.2,25.5,1.8,3.62,0,0,0,0,0,0
international,29,9,39.9,59.97,5.3,C,0,0,0,1,0,0
domestic,23,1,22.5,58.93,3.9,5.19,0,0,0,0,0,0
domestic,31,5,14.8,44.41,3.0,4.28,0,0,0,0,0,0
domestic,24,7,14.0,67.7,4.9,2.67,0,0,0,1,0,0
domestic,20,3,25.7,63.22,7.5,4.97,1,1,0,1,1,1
international,26,7,59.6,47.42,6.2,3.9,0,0,0,0,0,0
international,23,9,35.9,56.17,6.0,7.8,1,1,0,1,0,0
international,23,5,18.8,54.03,5.6,8.7,1,1,0,1,0,0
international,22,4,56.6,72.88,5.2,6.3,1,1,1,1,0,1
international,21,1,18.8,84.67,8.2,A,1,1,1,1,1,1
international,30,6,43.5,85.6,8.8,63.8,1,1,1,1,1,1
domestic,27,4,20.5,60.45,5.5,4.09,1,0,0,0,1,0
domestic,28,6,17.3,50.43,5.2,4.27,0,0,0,0,0,0
domestic,30,1,16.6,48.65,5.6,3.61,0,0,0,0,1,0
international,26,6,20.0,72.92,7.9,68.1,1,1,1,1,1,1
domestic,27,7,16.4,45.96,3.1,4.07,0,0,0,0,0,0
domestic,29,8,18.8,66.22,4.5,5.1,1,0,0,1,0,0
domestic,23,5,8.9,34.85,4.6,5.97,0,0,0,0,0,0
international,23,0,44.9,68.64,9.2,58.6,1,1,1,1,1,1
international,23,4,37.5,55.96,7.8,76.2,1,1,0,1,0,1
international,22,7,7.6,72.89,3.3,A,0,0,1,1,0,0
international,22,3,28.6,70.76,6.9,1.7,1,1,1,1,1,1
domestic,22,3,16.0,66.83,5.0,4.84,1,1,0,1,1,1
international,23,3,10.2,46.9,3.2,4.9,0,0,0,0,0,0
domestic,33,8,46.8,20.25,4.9,3.4,0,0,0,0,0,0
international,20,3,19.7,71.95,5.5,A,1,1,1,1,1,1
domestic,30,5,18.6,66.29,3.8,3.67,0,0,0,1,0,0
international,25,8,0.9,77.12,5.0,3.5,1,1,1,1,1,1
international,22,8,12.3,76.48,5.3,,1,1,1,1,0,1
domestic,28,7,3.2,43.13,7.4,3.59,0,1,0,0,0,0
domestic,30,7,18.6,65.98,6.4,4.7,1,1,0,1,1,0
domestic,21,4,20.8,51.99,3.7,4.14,1,0,0,0,0,0
international,21,5,13.8,76.66,3.1,77.0,0,0,1,1,0,0
international,24,2,55.0,60.91,6.9,B,1,1,0,1,0,1
domestic,29,5,47.7,40.45,4.3,5.22,0,0,0,0,0,0
domestic,35,8,33.9,42.75,3.0,5.16,0,0,0,0,0,0
domestic,33,5,28.5,62.58,4.9,4.99,0,0,0,0,0,0
domestic,22,3,7.2,73.81,4.9,5.23,0,1,1,1,1,1
domestic,32,5,12.0,55.92,3.6,5.3,0,0,0,0,0,0
